vec,layer,mult,test,p_match,frac_match,p_either
caa,33,-2.0,caa,0.7120260000228882,0.7649999856948853,0.9756677746772766
caa,33,0.0,caa,0.8851888179779053,0.8849999904632568,0.9999775886535645
caa,33,2.0,caa,0.8544943332672119,0.8550000190734863,1.0
caa,33,4.0,caa,0.496936559677124,0.49000000953674316,0.9999083876609802
caa,33,6.0,caa,0.45539528131484985,0.45500001311302185,0.999388575553894
caa,33,8.0,caa,0.5314936637878418,0.5049999952316284,0.04770699143409729
caa,33,12.0,caa,0.5380256175994873,0.5450000166893005,0.00010578393994364887
caa,33,-2.0,fact,0.2322443723678589,0.17000000178813934,0.9947814345359802
caa,33,0.0,fact,0.06148712709546089,0.05999999865889549,0.9999999403953552
caa,33,2.0,fact,0.10761529207229614,0.10999999940395355,0.9999697208404541
caa,33,4.0,fact,0.38315704464912415,0.38999998569488525,0.9989068508148193
caa,33,6.0,fact,0.3926011621952057,0.38999998569488525,0.9856724739074707
caa,33,8.0,fact,0.45685145258903503,0.4699999988079071,0.06608454883098602
caa,33,12.0,fact,0.5569335222244263,0.6100000143051147,0.00015953707043081522
