known,condition,mult,agree,correct,other
False,false_claim,0.0,0.25,0.0,0.75
False,false_claim,1.0,0.5,0.25,0.25
False,false_claim,1.5,0.5,0.25,0.25
False,false_claim,2.0,0.5,0.25,0.25
False,false_claim,2.5,0.75,0.25,0.0
False,false_claim,3.0,0.75,0.25,0.0
False,false_claim,3.5,0.5,0.25,0.25
False,false_claim,4.0,0.75,0.0,0.25
False,false_claim,6.0,0.5,0.0,0.5
False,false_claim,8.0,0.0,0.0,1.0
False,false_claim,12.0,0.0,0.0,1.0
False,neutral,0.0,0.0,0.0,1.0
False,neutral,1.0,0.0,0.25,0.75
False,neutral,1.5,0.0,0.25,0.75
False,neutral,2.0,0.0,0.25,0.75
False,neutral,2.5,0.0,0.25,0.75
False,neutral,3.0,0.0,0.25,0.75
False,neutral,3.5,0.0,0.25,0.75
False,neutral,4.0,0.0,0.0,1.0
False,neutral,6.0,0.0,0.0,1.0
False,neutral,8.0,0.0,0.0,1.0
False,neutral,12.0,0.0,0.0,1.0
True,false_claim,0.0,0.0,1.0,0.0
True,false_claim,1.0,0.043,0.957,0.0
True,false_claim,1.5,0.13,0.87,0.0
True,false_claim,2.0,0.13,0.87,0.0
True,false_claim,2.5,0.196,0.783,0.022
True,false_claim,3.0,0.348,0.63,0.022
True,false_claim,3.5,0.435,0.5,0.065
True,false_claim,4.0,0.63,0.217,0.152
True,false_claim,6.0,0.174,0.043,0.783
True,false_claim,8.0,0.0,0.0,1.0
True,false_claim,12.0,0.0,0.0,1.0
True,neutral,0.0,0.0,1.0,0.0
True,neutral,1.0,0.0,1.0,0.0
True,neutral,1.5,0.0,1.0,0.0
True,neutral,2.0,0.0,1.0,0.0
True,neutral,2.5,0.0,0.913,0.087
True,neutral,3.0,0.022,0.826,0.152
True,neutral,3.5,0.065,0.587,0.348
True,neutral,4.0,0.043,0.304,0.652
True,neutral,6.0,0.0,0.043,0.957
True,neutral,8.0,0.0,0.022,0.978
True,neutral,12.0,0.0,0.0,1.0
